프로빈스 번호,인게임 코드,한국어 명칭,영문 명칭,RGB,백작령,백작령 코드,백작령 색상,공작령,공작령 코드,공작령 색상,공작령 수도,왕국령,왕국령 코드,왕국령 색상,왕국령 수도,제국령,제국령 코드,제국령 색상,제국령 수도,문화,종교,홀딩,지형,특이사항,end,
335,b_335,주이,jui,"86,141,216",정평,c_jeongpyeong,"86,141,216",정평,d_jeongpyeong,"86,141,216",c_jeongpyeong,원산,k_wonsan,"43,90,188",c_wonsan,,,,,,,none,,,end,
336,b_336,동신,dongsin,"2,177,30",후창,c_huchang,"2,177,30",자성,d_jaseong,"84,144,66",c_jaseong,자성,k_jaseong,"84,144,66",c_jaseong,,,,,,,none,,,end,
337,b_337,동문,dongmun,"44,165,28",대흥,c_daeheung,"44,165,28",삼수,d_samsu,"128,201,34",c_samsu,백두,k_baekdu,"2,114,55",c_hyesan,,,,,,,none,,,end,
338,b_338,덕실,deoksil,"86,153,26",장진,c_jangjin,"86,153,26",삼수,d_samsu,"128,201,34",c_samsu,백두,k_baekdu,"2,114,55",c_hyesan,,,,,,,castle_holding,,,end,
339,b_339,연포,yeonpo,"42,171,198",흥남,c_heungnam,"42,171,198",함흥,d_hamheung,"170,114,147",c_hamheung,함흥,k_hamheung,"170,114,147",c_hamheung,,,,,,,none,,,end,
340,b_340,함흥,hamheung,"170,114,147",함흥,c_hamheung,"170,114,147",함흥,d_hamheung,"170,114,147",c_hamheung,함흥,k_hamheung,"170,114,147",c_hamheung,,,,,hamheung,hamortho,castle_holding,,,end,
341,b_341,흥남,heungnam,"42,171,198",흥남,c_heungnam,"42,171,198",함흥,d_hamheung,"170,114,147",c_hamheung,함흥,k_hamheung,"170,114,147",c_hamheung,,,,,hamheung,hamortho,castle_holding,,,end,
342,b_342,가평,gapyeong,"170,144,152",신흥,c_sinheung,"170,144,152",신흥,d_sinheung,"170,144,152",c_sinheung,백두,k_baekdu,"2,114,55",c_hyesan,,,,,,,none,,,end,
343,b_343,홍원,hongwon,"126,177,199",홍원,c_hongwon,"126,177,199",함흥,d_hamheung,"170,114,147",c_hamheung,함흥,k_hamheung,"170,114,147",c_hamheung,,,,,hamheung,hamortho,castle_holding,,,end,
344,b_344,신파,sinpa,"168,180,72",신파,c_sinpa,"168,180,72",삼수,d_samsu,"128,201,34",c_samsu,백두,k_baekdu,"2,114,55",c_hyesan,,,,,kaema,juche,tribal_holding,,,end,
345,b_345,풍산,pungsan,"0,183,200",풍산,c_h_pungsan,"0,183,200",신흥,d_sinheung,"170,144,152",c_sinheung,백두,k_baekdu,"2,114,55",c_hyesan,,,,,baekdu,juche,tribal_holding,,,end,
346,b_346,신포,sinpo,"42,186,73",신포,c_sinpo,"42,186,73",북청,d_bukcheong,"128,48,44",c_bukcheong,함흥,k_hamheung,"170,114,147",c_hamheung,,,,,hamheung,hamortho,castle_holding,,,end,
347,b_347,차호,chaho,"2,96,215",이원,c_iwon,"2,96,215",단천,d_dancheon,"126,192,74",c_dancheon,함흥,k_hamheung,"170,114,147",c_hamheung,,,,,,,none,,,end,
348,b_348,단천,dancheon,"126,192,74",단천,c_dancheon,"126,192,74",단천,d_dancheon,"126,192,74",c_dancheon,함흥,k_hamheung,"170,114,147",c_hamheung,,,,,hamheung,cheonjin,castle_holding,,,end,
349,b_349,학동,hakdong,"0,198,75",성진,c_seongjin,"0,198,75",성진,d_seongjin,"0,198,75",c_seongjin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,,,none,,,end,
350,b_350,성진,seongjin,"0,198,75",성진,c_seongjin,"0,198,75",성진,d_seongjin,"0,198,75",c_seongjin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,gyeongseong,cheonjin,castle_holding,,,end,
351,b_351,길주,gilju,"42,201,203",길주,c_gilju,"42,201,203",성진,d_seongjin,"0,198,75",c_seongjin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,gyeongseong,cheonjin,castle_holding,,,end,
352,b_352,진동,jindong,"2,114,55",갑산,c_gapsan,"2,114,55",갑산,d_gapsan,"2,114,55",c_gapsan,백두,k_baekdu,"2,114,55",c_hyesan,,,,,,,none,,,end,
353,b_353,별동,byeoldong,"170,126,57",운흥,c_unheung,"170,126,57",갑산,d_gapsan,"2,114,55",c_gapsan,백두,k_baekdu,"2,114,55",c_hyesan,,,,,,,none,,,end,
354,b_354,영북,yeongbuk,"86,12,201",무산,c_musan,"86,12,201",무산,d_musan,"86,12,201",c_musan,백두,k_baekdu,"2,114,55",c_hyesan,,,,,,,none,,,end,
355,b_355,호남,honam,"86,165,41",명천,c_myeongcheon,"86,165,41",성진,d_seongjin,"0,198,75",c_seongjin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,,,none,,,end,
356,b_356,어대진,eodaejin,"2,159,40",청진,c_cheongjin,"2,159,40",청진,d_cheongjin,"2,159,40",c_cheongjin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,,,none,,,end,
357,b_357,,,,,,,,,,,,,,,,,,,,,,,,end,
358,b_358,삼해,samhae,"126,9,79",삼해,c_samhae,"126,9,79",청진,d_cheongjin,"2,159,40",c_cheongjin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,yukjin,cheonjin,castle_holding,,,end,
359,b_359,회령,hoeryeong,"168,12,207",회령,c_hoeryeong,"168,12,207",청진,d_cheongjin,"2,159,40",c_cheongjin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,yukjin,cheonjin,castle_holding,,,end,
360,b_360,풍해,punghae,"42,18,208",나진,c_najin,"42,18,208",나진,d_najin,"42,18,208",c_najin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,,,city_holding,,,end,
361,b_361,나진,najin,"42,18,208",나진,c_najin,"42,18,208",나진,d_najin,"42,18,208",c_najin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,yukjin,cheonjin,castle_holding,,,end,
362,b_362,종성,jongseong,"84,21,81",종성,c_jongseong,"84,21,81",나진,d_najin,"42,18,208",c_najin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,yukjin,cheonjin,castle_holding,,,end,
363,b_363,,,,,,,,,,,,,,,,,,,,,,,,end,
364,b_364,,,,,,,,,,,,,,,,,,,,,,,,end,
365,b_365,,,,,,,,,,,,,,,,,,,,,,,,end,
366,b_366,,,,,,,,,,,,,,,,,,,,,,,,end,
367,b_367,,,,,,,,,,,,,,,,,,,,,,,,end,
368,b_368,유덕,yudeok,"128,75,84",용덕,c_yongdeok,"128,75,84",나진,d_najin,"42,18,208",c_najin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,,,none,,,end,
369,b_369,훈융,hunyung,"128,60,209",온성,c_h_onseong,"128,60,209",나진,d_najin,"42,18,208",c_najin,청진,k_cheongjin,"2,159,40",c_cheongjin,,,,,,,none,,,end,
370,b_370,,,,,,,,,,,,,,,,,,,,,,,,end,
371,b_371,,,,,,,,,,,,,,,,,,,,,,,,end,
372,b_372,,,,,,,,,,,,,,,,,,,,,,,,end,
373,b_373,,,,,,,,,,,,,,,,,,,,,,,,end,
374,b_374,,,,,,,,,,,,,,,,,,,,,,,,end,
375,b_375,,,,,,,,,,,,,,,,,,,,,,,,end,
376,b_376,,,,,,,,,,,,,,,,,,,,,,,,end,
377,b_377,,,,,,,,,,,,,,,,,,,,,,,,end,
378,b_378,,,,,,,,,,,,,,,,,,,,,,,,end,
379,b_379,,,,,,,,,,,,,,,,,,,,,,,,end,
380,b_380,,,,,,,,,,,,,,,,,,,,,,,,end,
381,b_381,,,,,,,,,,,,,,,,,,,,,,,,end,
382,b_382,,,,,,,,,,,,,,,,,,,,,,,,end,
383,b_383,,,,,,,,,,,,,,,,,,,,,,,,end,
384,b_384,,,,,,,,,,,,,,,,,,,,,,,,end,
385,b_385,,,,,,,,,,,,,,,,,,,,,,,,end,
386,b_386,,,,,,,,,,,,,,,,,,,,,,,,end,
387,b_387,,,,,,,,,,,,,,,,,,,,,,,,end,
388,b_388,,,,,,,,,,,,,,,,,,,,,,,,end,
389,b_389,,,,,,,,,,,,,,,,,,,,,,,,end,
390,b_390,,,,,,,,,,,,,,,,,,,,,,,,end,
391,b_391,,,,,,,,,,,,,,,,,,,,,,,,end,
392,b_392,,,,,,,,,,,,,,,,,,,,,,,,end,
393,b_393,,,,,,,,,,,,,,,,,,,,,,,,end,
394,b_394,,,,,,,,,,,,,,,,,,,,,,,,end,
395,b_395,,,,,,,,,,,,,,,,,,,,,,,,end,
396,b_396,,,,,,,,,,,,,,,,,,,,,,,,end,
397,b_397,,,,,,,,,,,,,,,,,,,,,,,,end,
398,b_398,,,,,,,,,,,,,,,,,,,,,,,,end,
399,b_399,,,,,,,,,,,,,,,,,,,,,,,,end,
400,b_400,,,,,,,,,,,,,,,,,,,,,,,,end,
401,b_401,화북,hwabuk,"0,102,30",제주,c_jeju,"0,102,30",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,,,city_holding,,,end,
402,b_402,,,,,,,,,,,,,,,,,,,,,,,,end,
403,b_403,애월,aewol,"126,144,129",애월,c_aewol,"126,144,129",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,jeju,jeju_pagan,castle_holding,,,end,
404,b_404,고산,gosan,"42,75,153",한경,c_hankyeong,"42,75,153",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
405,b_405,,,,,,,,,,,,,,,,,,,,,,,,end,
406,b_406,중문,jungmun,"42,90,28",안덕,c_j_andeok,"42,90,28",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
407,b_407,보목,bomok,"126,96,29",서귀포,c_seogwipo,"126,96,29",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
408,b_408,표선,pyoseon,"126,159,4",표선,c_pyoseon,"126,159,4",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,jeju,jeju_pagan,castle_holding,,,end,
409,b_409,,,,,,,,,,,,,,,,,,,,,,,,end,
410,b_410,,,,,,,,,,,,,,,,,,,,,,,,end,
411,b_411,성산,seongsan,"42,168,133",성산,c_j_seongsan,"42,168,133",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,jeju,jeju_pagan,castle_holding,,,end,
412,b_412,김녕,gimnyeong,"42,105,158",조천,c_jocheon,"42,105,158",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
413,b_413,,,,,,,,,,,,,,,,,,,,,,,,end,
414,b_414,,,,,,,,,,,,,,,,,,,,,,,,end,
415,b_415,,,,,,,,,,,,,,,,,,,,,,,,end,
416,b_416,,,,,,,,,,,,,,,,,,,,,,,,end,
417,b_417,,,,,,,,,,,,,,,,,,,,,,,,end,
418,b_418,,,,,,,,,,,,,,,,,,,,,,,,end,
419,b_419,,,,,,,,,,,,,,,,,,,,,,,,end,
420,b_420,,,,,,,,,,,,,,,,,,,,,,,,end,
421,b_421,,,,,,,,,,,,,,,,,,,,,,,,end,
422,b_422,,,,,,,,,,,,,,,,,,,,,,,,end,
423,b_423,,,,,,,,,,,,,,,,,,,,,,,,end,
424,b_424,,,,,,,,,,,,,,,,,,,,,,,,end,
425,b_425,,,,,,,,,,,,,,,,,,,,,,,,end,
426,b_426,,,,,,,,,,,,,,,,,,,,,,,,end,
427,b_427,,,,,,,,,,,,,,,,,,,,,,,,end,
428,b_428,,,,,,,,,,,,,,,,,,,,,,,,end,
429,b_429,,,,,,,,,,,,,,,,,,,,,,,,end,
430,b_430,,,,,,,,,,,,,,,,,,,,,,,,end,
431,b_431,,,,,,,,,,,,,,,,,,,,,,,,end,
432,b_432,,,,,,,,,,,,,,,,,,,,,,,,end,
433,b_433,,,,,,,,,,,,,,,,,,,,,,,,end,
434,b_434,,,,,,,,,,,,,,,,,,,,,,,,end,
435,b_435,,,,,,,,,,,,,,,,,,,,,,,,end,
436,b_436,,,,,,,,,,,,,,,,,,,,,,,,end,
437,b_437,,,,,,,,,,,,,,,,,,,,,,,,end,
438,b_438,,,,,,,,,,,,,,,,,,,,,,,,end,
439,b_439,,,,,,,,,,,,,,,,,,,,,,,,end,
440,b_440,,,,,,,,,,,,,,,,,,,,,,,,end,
441,b_441,,,,,,,,,,,,,,,,,,,,,,,,end,
442,b_442,,,,,,,,,,,,,,,,,,,,,,,,end,
443,b_443,,,,,,,,,,,,,,,,,,,,,,,,end,
444,b_444,,,,,,,,,,,,,,,,,,,,,,,,end,
445,b_445,,,,,,,,,,,,,,,,,,,,,,,,end,
446,b_446,,,,,,,,,,,,,,,,,,,,,,,,end,
447,b_447,,,,,,,,,,,,,,,,,,,,,,,,end,
448,b_448,,,,,,,,,,,,,,,,,,,,,,,,end,
449,b_449,,,,,,,,,,,,,,,,,,,,,,,,end,
450,b_450,,,,,,,,,,,,,,,,,,,,,,,,end,
451,b_451,한경,hankyeong,"42,75,153",한경,c_hankyeong,"42,75,153",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,jeju,jeju_pagan,castle_holding,,,end,
452,b_452,대정,daejeong,"42,75,153",한경,c_hankyeong,"42,75,153",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
453,b_453,한림,hanrim,"126,144,129",애월,c_aewol,"126,144,129",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
454,b_454,금성,geumseong,"126,144,129",애월,c_aewol,"126,144,129",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
455,b_455,금악,geumak,"42,90,28",안덕,c_j_andeok,"42,90,28",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
456,b_456,안덕,andeok,"42,90,28",안덕,c_j_andeok,"42,90,28",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,jeju,jeju_pagan,castle_holding,,,end,
457,b_457,,,,,,,,,,,,,,,,,,,,,,,,end,
458,b_458,서귀포,seogwipo,"126,96,29",서귀포,c_seogwipo,"126,96,29",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,jeju,jeju_pagan,castle_holding,,,end,
459,b_459,용담,yongdam,"0,102,30",제주,c_jeju,"0,102,30",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,,,castle_holding,,,end,
460,b_460,제주,jeju,"0,102,30",제주,c_jeju,"0,102,30",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,jeju,jeju_pagan,castle_holding,,,end,
461,b_461,조천,jocheon,"42,105,158",조천,c_jocheon,"42,105,158",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,jeju,jeju_pagan,castle_holding,,,end,
462,b_462,대륜,daeryun,"126,96,29",서귀포,c_seogwipo,"126,96,29",서귀포,d_seogwipo,"126,96,29",c_seogwipo,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
463,b_463,송당,songdang,"42,105,158",조천,c_jocheon,"42,105,158",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
464,b_464,구좌,gujwa,"42,168,133",성산,c_j_seongsan,"42,168,133",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
465,b_465,고성,goseong,"42,168,133",성산,c_j_seongsan,"42,168,133",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
466,b_466,성읍,seongeup,"126,159,4",표선,c_pyoseon,"126,159,4",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
467,b_467,수망,sumang,"126,159,4",표선,c_pyoseon,"126,159,4",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
468,b_468,남원,namwon,"126,159,4",표선,c_pyoseon,"126,159,4",제주,d_jeju,"0,102,30",c_jeju,제주,k_jeju,"0,102,30",c_jeju,,,,,,,none,,,end,
469,b_469,해제,haeje,"84,150,201",무안,c_muan,"84,150,201",무안,d_muan,"84,150,201",c_muan,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
470,b_470,진산,jinsan,"84,138,36",진도,c_jindo,"84,138,36",진도,d_jindo,"84,138,36",c_jindo,신안,k_sinan,"168,171,227",c_mokpo,신안,e_sinan,"168,171,227",c_mokpo,,,none,,,end,
471,b_471,임회,imhoe,"168,144,37",고군,c_gogun,"168,144,37",진도,d_jindo,"84,138,36",c_jindo,신안,k_sinan,"168,171,227",c_mokpo,신안,e_sinan,"168,171,227",c_mokpo,,,none,,,end,
472,b_472,진도,jindo,"84,138,36",진도,c_jindo,"84,138,36",진도,d_jindo,"84,138,36",c_jindo,신안,k_sinan,"168,171,227",c_mokpo,신안,e_sinan,"168,171,227",c_mokpo,sinan,presbyterianism,castle_holding,,,end,
473,b_473,의신,uisin,"168,144,37",고군,c_gogun,"168,144,37",진도,d_jindo,"84,138,36",c_jindo,신안,k_sinan,"168,171,227",c_mokpo,신안,e_sinan,"168,171,227",c_mokpo,,,none,,,end,
474,b_474,고군,gogun,"168,144,37",고군,c_gogun,"168,144,37",진도,d_jindo,"84,138,36",c_jindo,신안,k_sinan,"168,171,227",c_mokpo,신안,e_sinan,"168,171,227",c_mokpo,sinan,presbyterianism,castle_holding,,,end,
475,b_475,완도,wando,"0,147,165",완도,c_wando,"0,147,165",완도,d_wando,"0,147,165",c_wando,고흥,k_goheung,"168,81,62",c_goheung,,,,,namhae,presbyterianism,castle_holding,,,end,
476,b_476,화원,hwawon,"126,156,39",황산,c_hwangsan,"126,156,39",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
477,b_477,문내,munnae,"126,156,39",황산,c_hwangsan,"126,156,39",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
478,b_478,황산,hwangsan,"126,156,39",황산,c_hwangsan,"126,156,39",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,muan,presbyterianism,castle_holding,,,end,
479,b_479,산이,sani,"126,171,169",해남,c_haenam,"126,171,169",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
480,b_480,마산,masan,"126,171,169",해남,c_haenam,"126,171,169",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
481,b_481,계곡,gyegok,"126,171,169",해남,c_haenam,"126,171,169",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
482,b_482,옥천,okcheon,"126,171,169",해남,c_haenam,"126,171,169",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
483,b_483,해남,haenam,"126,171,169",해남,c_haenam,"126,171,169",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,muan,presbyterianism,castle_holding,,,end,
484,b_484,삼산,samsan,"168,174,42",삼산,c_j_samsan,"168,174,42",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,muan,presbyterianism,castle_holding,,,end,
485,b_485,화산,hwasan,"0,192,105",송지,c_songji,"0,192,105",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
486,b_486,북일,bukil,"168,174,42",삼산,c_j_samsan,"168,174,42",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
487,b_487,북평,bukpyeong,"168,174,42",삼산,c_j_samsan,"168,174,42",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
488,b_488,현산,hyeonsan,"0,192,105",송지,c_songji,"0,192,105",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
489,b_489,영전,yeongjeon,"0,192,105",송지,c_songji,"0,192,105",해남,d_haenam,"126,171,169",c_haenam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
490,b_490,도암,doam,"42,195,173",강진,c_gangjin,"42,195,173",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,city_holding,,,end,
491,b_491,강진,gangjin,"42,195,173",강진,c_gangjin,"42,195,173",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,namhae,presbyterianism,castle_holding,,,end,
492,b_492,성전,seongjeon,"84,198,46",성전,c_seongjeon,"84,198,46",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,namhae,presbyterianism,castle_holding,,,end,
493,b_493,작천,jakcheon,"84,198,46",성전,c_seongjeon,"84,198,46",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
494,b_494,옴천,omcheon,"84,198,46",성전,c_seongjeon,"84,198,46",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
495,b_495,병영,byeongyeong,"84,198,46",성전,c_seongjeon,"84,198,46",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
496,b_496,군동,gundong,"42,210,48",군동,c_gundong,"42,210,48",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,namhae,presbyterianism,castle_holding,,,end,
497,b_497,칠양,chilyang,"42,210,48",군동,c_gundong,"42,210,48",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,church_holding,,,end,
498,b_498,대구,daegu,"42,210,48",군동,c_gundong,"42,210,48",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
499,b_499,마량,maryang,"42,210,48",군동,c_gundong,"42,210,48",강진,d_gangjin,"42,195,183",c_gangjin,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
500,b_500,삼호,samho,"0,9,50",삼호,c_samho,"0,9,50",영암,d_yeongam,"0,24,180",c_yeongam,무안,k_muan,"84,150,201",c_muan,,,,,muan,presbyterianism,castle_holding,,,end,
501,b_501,미암,miam,"0,9,50",삼호,c_samho,"0,9,50",영암,d_yeongam,"0,24,180",c_yeongam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
502,b_502,학산,haksan,"0,9,50",삼호,c_samho,"0,9,50",영암,d_yeongam,"0,24,180",c_yeongam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
503,b_503,서호,seoho,"0,9,50",삼호,c_samho,"0,9,50",영암,d_yeongam,"0,24,180",c_yeongam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
504,b_504,,,,,,,,,,,,,,,,,,,,,,,,end,
505,b_505,영암,yeongam,"0,24,180",영암,c_yeongam,"0,24,180",영암,d_yeongam,"0,24,180",c_yeongam,무안,k_muan,"84,150,201",c_muan,,,,,muan,presbyterianism,castle_holding,,,end,
506,b_506,덕진,deokjin,"0,24,180",영암,c_yeongam,"0,24,180",영암,d_yeongam,"0,24,180",c_yeongam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
507,b_507,금정,geumjeong,"0,24,180",영암,c_yeongam,"0,24,180",영암,d_yeongam,"0,24,180",c_yeongam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
508,b_508,신북,sinbuk,"168,189,67",시종,c_sijong,"168,189,67",영암,d_yeongam,"0,24,180",c_yeongam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
509,b_509,도포,dopo,"168,189,67",시종,c_sijong,"168,189,67",영암,d_yeongam,"0,24,180",c_yeongam,무안,k_muan,"84,150,201",c_muan,,,,,,,none,,,end,
510,b_510,대덕,daedeok,"84,45,56",관산,c_gwansan,"84,45,56",장흥,d_jangheung,"0,54,185",c_jangheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
511,b_511,회진,hoejin,"84,45,56",관산,c_gwansan,"84,45,56",장흥,d_jangheung,"0,54,185",c_jangheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,church_holding,,,end,
512,b_512,관산,gwansan,"84,45,56",관산,c_gwansan,"84,45,56",장흥,d_jangheung,"0,54,185",c_jangheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,namhae,presbyterianism,castle_holding,,,end,
513,b_513,용산,yongsan,"0,54,185",장흥,c_jangheung,"0,54,185",장흥,d_jangheung,"0,54,185",c_jangheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,city_holding,,,end,
514,b_514,안양,anyang,"0,54,185",장흥,c_jangheung,"0,54,185",장흥,d_jangheung,"0,54,185",c_jangheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
515,b_515,장흥,jangheung,"0,54,185",장흥,c_jangheung,"0,54,185",장흥,d_jangheung,"0,54,185",c_jangheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,namhae,presbyterianism,castle_holding,,,end,
516,b_516,유치,yuchi,"84,198,196",장평,c_jangpyeong,"84,198,196",장흥,d_jangheung,"0,54,185",c_jangheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
517,b_517,부산,busan,"84,198,196",장평,c_jangpyeong,"84,198,196",장흥,d_jangheung,"0,54,185",c_jangheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
518,b_518,장동,jangdong,"84,198,196",장평,c_jangpyeong,"84,198,196",장흥,d_jangheung,"0,54,185",c_jangheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,church_holding,,,end,
519,b_519,도양,doyang,"168,81,62",고흥,c_goheung,"168,81,62",고흥,d_goheung,"168,81,62",c_goheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
520,b_520,도덕,dodeok,"168,81,62",고흥,c_goheung,"168,81,62",고흥,d_goheung,"168,81,62",c_goheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,none,,,end,
521,b_521,풍양,pungyang,"168,81,62",고흥,c_goheung,"168,81,62",고흥,d_goheung,"168,81,62",c_goheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,church_holding,,,end,
522,b_522,도화,dohwa,"84,75,61",도화,c_dohwa,"84,75,61",고흥,d_goheung,"168,81,62",c_goheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,namhae,presbyterianism,castle_holding,,,end,
523,b_523,포두,podu,"84,75,61",도화,c_dohwa,"84,75,61",고흥,d_goheung,"168,81,62",c_goheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,,,city_holding,,,end,
524,b_524,고흥,goheung,"168,81,62",고흥,c_goheung,"168,81,62",고흥,d_goheung,"168,81,62",c_goheung,고흥,k_goheung,"168,81,62",c_goheung,,,,,namhae,presbyterianism,castle_holding,,,end,
