프로빈스 번호	인게임 코드	한국어 명칭	영문 명칭	RGB	백작령	백작령코드명	백작령 색상	공작령	공작령코드명	공작령 색상	왕국령	왕국령코드명	왕국령 색상	제국령	제국령코드명	제국령 색상	문화	종교	홀딩	지형	특이사항	end
670	b_670	인계	ingye	126, 87, 34	동계			순창			전주	k_jeonju		신복련	e_hec							end
671	b_671	적성	jeokseong	126, 87, 34	동계			순창			전주	k_jeonju		신복련	e_hec							end
672	b_672	대강	daegang	126, 102, 164	금지			남원			전주	k_jeonju		신복련	e_hec							end
673	b_673	금지	geumji	126, 102, 164	금지			남원			전주	k_jeonju		신복련	e_hec							end
674	b_674	주생	jusaeng	126, 102, 164	금지			남원			전주	k_jeonju		신복련	e_hec							end
675	b_675	대산	daesan	126, 102, 164	금지			남원			전주	k_jeonju		신복련	e_hec							end
676	b_676	송동	songdong	126, 102, 164	금지			남원			전주	k_jeonju		신복련	e_hec							end
677	b_677	수지	suji	126, 102, 164	금지			남원			전주	k_jeonju		신복련	e_hec							end
678	b_678	주천	jucheon	0, 138, 170	남원			남원			전주	k_jeonju		신복련	e_hec							end
679	b_679	남원	namwon	0, 138, 170	남원			남원			전주	k_jeonju		신복련	e_hec							end
680	b_680	사매	samae	0, 138, 170	남원			남원			전주	k_jeonju		신복련	e_hec							end
681	b_681	덕과	deokgwa	168, 120, 167	보절			남원			전주	k_jeonju		신복련	e_hec							end
682	b_682	보절	bojeol	168, 120, 167	보절			남원			전주	k_jeonju		신복련	e_hec							end
683	b_683	산동	sandong	168, 120, 167	보절			남원			전주	k_jeonju		신복련	e_hec							end
684	b_684	이백	ibaek	0, 138, 170	남원			남원			전주	k_jeonju		신복련	e_hec							end
685	b_685	운봉	unbong	0, 138, 170	운봉			남원			전주	k_jeonju		신복련	e_hec							end
686	b_686	산내	sannae	0, 138, 170	운봉			남원			전주	k_jeonju		신복련	e_hec							end
687	b_687	인월	inwol	0, 138, 170	운봉			남원			전주	k_jeonju		신복련	e_hec							end
688	b_688	산동	sandong	42, 156, 173	구례			광양			여수	k_yeosu										end
689	b_689	광의	gwangui	42, 156, 173	구례			광양			여수	k_yeosu										end
690	b_690	용방	yongbang	42, 156, 173	구례			광양			여수	k_yeosu										end
691	b_691	구례	gurye	42, 156, 173	구례			광양			여수	k_yeosu										end
692	b_692	문척	muncheok	168, 165, 47	토지			광양			여수	k_yeosu										end
693	b_693	마산	masan	168, 165, 47	토지			광양			여수	k_yeosu										end
694	b_694	토지	toji	168, 165, 47	토지			광양			여수	k_yeosu										end
695	b_695	마천	macheon	0, 24, 30	함양			거창			가야	k_gaya										end
696	b_696	화개	hwagae	126, 192, 179	하동			산청			가야	k_gaya										end
697	b_697	청암	cheongam	168, 180, 177	옥종			산청			가야	k_gaya										end
698	b_698	악양	agyang	126, 192, 179	하동			산청			가야	k_gaya										end
699	b_699	옥종	okjong	168, 180, 177	옥종			산청			가야	k_gaya										end
700	b_700	북천	bukcheon	168, 180, 177	옥종			산청			가야	k_gaya										end
701	b_701	황천	hwangcheon	168, 180, 177	옥종			산청			가야	k_gaya										end
702	b_702	적량	jeokryang	126, 192, 179	하동			산청			가야	k_gaya										end
703	b_703	하동	hadong	126, 192, 179	하동			산청			가야	k_gaya										end
704	b_704	고전	gojeon	0, 198, 180	금양			산청			가야	k_gaya										end
705	b_705	금성	geumseong	0, 198, 180	금양			산청			가야	k_gaya										end
706	b_706	양보	yangbo	0, 198, 180	금양			산청			가야	k_gaya										end
707	b_707	금남	geumnam	0, 198, 180	금양			산청			가야	k_gaya										end
708	b_708	설천	seolcheon	42, 3, 183	남해			통영			창원	k_changwon										end
709	b_709	고현	gohyeon	42, 3, 183	남해			통영			창원	k_changwon										end
710	b_710	서상	seosang	42, 3, 183	남해			통영			창원	k_changwon										end
711	b_711	남해	namhae	42, 3, 183	남해			통영			창원	k_changwon										end
712	b_712	당항	danghang	42, 3, 183	남해			통영			창원	k_changwon										end
713	b_713	무림	murim	0, 15, 185	물건			통영			창원	k_changwon										end
714	b_714	상주	sangju	0, 15, 185	물건			통영			창원	k_changwon										end
715	b_715	물건	mulgeon	0, 15, 185	물건			통영			창원	k_changwon										end
716	b_716	산양	sanyang	42, 69, 18	통영			통영			창원	k_changwon										end
717	b_717	둔덕	dundeok	0, 30, 60	거제			거제			창원	k_changwon										end
718	b_718	사등	sadeung	0, 30, 60	거제			거제			창원	k_changwon										end
719	b_719	장평	jangpyeong	0, 30, 60	거제			거제			창원	k_changwon										end
720	b_720	거제	geoje	0, 30, 60	거제			거제			창원	k_changwon										end
721	b_721	남부	nambu	168, 42, 62	장승포			거제			창원	k_changwon										end
722	b_722	동부	dongbu	168, 42, 62	장승포			거제			창원	k_changwon										end
723	b_723	이룬	irun	168, 42, 62	장승포			거제			창원	k_changwon										end
724	b_724	장성포	jangseungpo	168, 42, 62	장승포			거제			창원	k_changwon									c-d불일치	end
725	b_725	옥포	okpo	42, 48, 63	연초			거제			창원	k_changwon										end
726	b_726	연초	yeoncho	42, 48, 63	연초			거제			창원	k_changwon										end
727	b_727	하청	hacheong	42, 48, 63	연초			거제			창원	k_changwon										end
728	b_728	웅천	ungcheon	42, 153, 208	진해			창원			창원	k_changwon										end
729	b_729	거창	geochang	168, 57, 192	거창			거창			가야	k_gaya										end
730	b_730	서포	seopo	42, 63, 193	곤양			사천			진주	k_jinju										end
731	b_731	곤양	gonyang	42, 63, 193	곤양			사천			진주	k_jinju										end
732	b_732	곤명	gonmyeong	42, 63, 193	곤양			사천			진주	k_jinju										end
733	b_733	축동	chukdong	168, 72, 67	사천			사천			진주	k_jinju										end
734	b_734	사천	sacheon	168, 72, 67	사천			사천			진주	k_jinju										end
735	b_735	정동	jeongdong	168, 72, 67	사천			사천			진주	k_jinju										end
736	b_736	사남	sanam	126, 18, 74	삼천포			사천			진주	k_jinju										end
737	b_737	용현	yonghyeon	126, 18, 74	삼천포			사천			진주	k_jinju										end
738	b_738	덕호	deokho	42, 93, 198	삼산			사천			진주	k_jinju										end
739	b_739	척번정	cheokbeonjeong	42, 93, 198	삼산			사천			진주	k_jinju										end
740	b_740	학림	hakrim	42, 93, 198	삼산			사천			진주	k_jinju										end
741	b_741	삼산	samsan	42, 93, 198	삼산			사천			진주	k_jinju										end
742	b_742	영현	yeonghyeon	0, 105, 200	고자			사천			진주	k_jinju										end
743	b_743	영고	yeongo	0, 105, 200	고자			사천			진주	k_jinju									c-d불일치	end
744	b_744	개천	gaecheon	0, 105, 200	고자			사천			진주	k_jinju										end
745	b_745	구만	guman	0, 105, 200	고자			사천			진주	k_jinju										end
746	b_746	회화	hoehwa	0, 105, 200	고자			사천			진주	k_jinju										end
747	b_747	마암	maam	168, 117, 202	고성			사천			진주	k_jinju										end
748	b_748	대가	daega	168, 117, 202	고성			사천			진주	k_jinju										end
749	b_749	고성	goseong	168, 117, 202	고성			사천			진주	k_jinju										end
750	b_750	도산	dosan	42, 123, 203	광도			통영			창원	k_changwon										end
751	b_751	광도	gwangdo	42, 123, 203	광도			통영			창원	k_changwon										end
752	b_752	거류	georyu	168, 117, 202	고성			사천			진주	k_jinju										end
753	b_753	진전	jinjeon	84, 141, 206	마산			창원			창원	k_changwon										end
754	b_754	진북	jinbuk	84, 141, 206	마산			창원			창원	k_changwon										end
755	b_755	진동	jindong	84, 141, 206	마산			창원			창원	k_changwon										end
756	b_756	구산	gusan	84, 141, 206	마산			창원			창원	k_changwon										end
757	b_757	마산	masan	84, 141, 206	마산			창원			창원	k_changwon										end
758	b_758	내서	naeseo	126, 93, 214	회원			창원			창원	k_changwon										end
759	b_759	창원	changwon	168, 147, 207	창원			창원			창원	k_changwon										end
760	b_760	성산	seongsan	168, 147, 207	창원			창원			창원	k_changwon										end
761	b_761	진해	jinhae	42, 153, 208	진해			창원			창원	k_changwon										end
762	b_762	장유	jangyu	0, 165, 210	김해			김해			부산	k_busan										end
763	b_763	영도	yeongdo	168, 207, 217	부산			부산			부산	k_busan										end
764	b_764	진례	jinrye	168, 177, 212	진영			김해			부산	k_busan										end
765	b_765	김해	gimhae	0, 165, 210	김해			김해			부산	k_busan										end
766	b_766	창북	changbuk	126, 174, 84	의창			창원			창원	k_changwon										end
767	b_767	용잠	yongjam	126, 174, 84	의창			창원			창원	k_changwon										end
768	b_768	대산	daesan	126, 174, 84	의창			창원			창원	k_changwon										end
769	b_769	진영	jinyeong	168, 177, 212	진영			김해			부산	k_busan										end
770	b_770	주촌	juchon	0, 165, 210	김해			김해			부산	k_busan										end
771	b_771	한림	hanrim	168, 177, 212	진영			김해			부산	k_busan										end
772	b_772	생림	saengrim	84, 105, 216	대동			김해			부산	k_busan										end
773	b_773	상동	sangdong	84, 105, 216	대동			김해			부산	k_busan										end
774	b_774	강서	gangseo	42, 0, 218	서부산			부산			부산	k_busan										end
775	b_775	사하	saha	42, 0, 218	서부산			부산			부산	k_busan										end
776	b_776	사상	sasang	42, 0, 218	서부산			부산			부산	k_busan										end
777	b_777	구포	gupo	42, 0, 218	서부산			부산			부산	k_busan										end
778	b_778	월배	wolbae	168, 207, 217	대구			대구			대구	k_daegu										end
779	b_779	부산	busan	168, 207, 217	부산			부산			부산	k_busan										end
780	b_780	비아	bia	168, 207, 217	광산			광주			광주	k_gwangju										end
781	b_781	동평	dongpyeong	42, 0, 218	부산			부산			부산	k_busan										end
782	b_782	대연	daeyeon	84, 18, 221	동부산			부산			부산	k_busan										end
783	b_783	수영	suyeong	84, 18, 221	동부산			부산			부산	k_busan										end
784	b_784	연제	yeonje	0, 12, 220	동래			부산			부산	k_busan										end
785	b_785	동래	dongrae	0, 12, 220	동래			부산			부산	k_busan										end
786	b_786	금정	geumjeong	0, 12, 220	동래			부산			부산	k_busan										end
787	b_787	해운대	haeundae	84, 18, 221	동부산			부산			부산	k_busan										end
788	b_788	기장	gijang	126, 21, 94	기장			부산			부산	k_busan										end
789	b_789	철마	cheolma	126, 21, 94	기장			부산			부산	k_busan										end
790	b_790	일광	ilgwang	126, 21, 94	기장			부산			부산	k_busan										end
791	b_791	정관	jeonggwan	126, 21, 94	기장			부산			부산	k_busan										end
792	b_792	가산	gasan	168, 111, 217	양산			양산			경주	k_gyeongju										end
793	b_793	물금	mulgeum	168, 111, 217	양산			양산			경주	k_gyeongju										end
794	b_794	외동	wondong	168, 111, 217	양산			양산			경주	k_gyeongju									c-d불일치	end
795	b_795	양산	yangsan	168, 111, 217	양산			양산			경주	k_gyeongju										end
796	b_796	상북	sangbuk	168, 39, 97	양북			양산			경주	k_gyeongju										end
797	b_797	하북	habuk	168, 39, 97	양북			양산			경주	k_gyeongju										end
798	b_798	삼장	samjang	126, 66, 129	산청			산청			가야	k_gaya										end
799	b_799	단성	danseong	168, 54, 227	단성			산청			가야	k_gaya										end
800	b_800	압해	sinan	168, 54, 227	단성			산청			가야	k_gaya									c-d불일치	end
801	b_801	생비량	saengbiryang	168, 54, 227	단성			산청			가야	k_gaya										end
802	b_802	신등	sindeung	168, 54, 227	단성			산청			가야	k_gaya										end
803	b_803	산청	sancheong	126, 66, 129	산청			산청			가야	k_gaya										end
804	b_804	금서	geumseo	126, 66, 129	산청			산청			가야	k_gaya										end
805	b_805	생초	saengcho	126, 66, 129	산청			산청			가야	k_gaya										end
806	b_806	오부	obu	126, 66, 129	산청			산청			가야	k_gaya										end
807	b_807	수곡	sugok	126, 81, 4	대평			진주			진주	k_jinju										end
808	b_808	대평	daepyeong	126, 81, 4	대평			진주			진주	k_jinju										end
809	b_809	내동	naedong	126, 96, 134	진주			진주			진주	k_jinju										end
810	b_810	정촌	jeongchon	126, 96, 134	진주			진주			진주	k_jinju										end
811	b_811	금곡	geumgok	126, 96, 134	진주			진주			진주	k_jinju										end
812	b_812	명석	myeongseok	126, 81, 4	대평			진주			진주	k_jinju										end
813	b_813	진주	jinju	126, 96, 134	진주			진주			진주	k_jinju										end
814	b_814	집현	jiphyeon	168, 99, 7	집현			진주			진주	k_jinju										end
815	b_815	미천	micheon	168, 99, 7	집현			진주			진주	k_jinju										end
816	b_816	대곡	daegok	168, 99, 7	집현			진주			진주	k_jinju										end
817	b_817	금산	geumsan	126, 96, 134	진주			진주			진주	k_jinju										end
818	b_818	문산	munsan	126, 96, 134	진주			진주			진주	k_jinju										end
819	b_819	진성	jinseong	168, 114, 137	진성			진주			진주	k_jinju										end
820	b_820	지수	jisu	168, 114, 137	진성			진주			진주	k_jinju										end
821	b_821	사봉	sabong	168, 114, 137	진성			진주			진주	k_jinju										end
822	b_822	일반성	banseong	168, 114, 137	진성			진주			진주	k_jinju									c-d불일치	end
823	b_823	대율	daeui	84, 138, 141	가례			합천			가야	k_gaya									c-d불일치	end
824	b_824	칠곡	chilgok	84, 138, 141	가례			합천			가야	k_gaya										end
825	b_825	화정	hwajeong	42, 135, 13	의령			합천			가야	k_gaya										end
826	b_826	의령	uiryeong	42, 135, 13	의령			합천			가야	k_gaya										end
827	b_827	가례	garye	84, 138, 141	가례			합천			가야	k_gaya										end
828	b_828	용덕	yongdeok	42, 135, 13	의령			합천			가야	k_gaya										end
829	b_829	궁류	gungryu	168, 159, 17	부림			합천			가야	k_gaya										end
830	b_830	봉수	bongsu	168, 159, 17	부림			합천			가야	k_gaya										end
831	b_831	유곡	yugok	168, 159, 17	부림			합천			가야	k_gaya										end
832	b_832	정곡	jeonggok	42, 135, 13	의령			합천			가야	k_gaya										end
833	b_833	지정	jijeong	42, 135, 13	의령			합천			가야	k_gaya										end
834	b_834	부림	burim	168, 159, 17	부림			합천			가야	k_gaya										end
835	b_835	군북	gunbuk	0, 162, 145	군북			함안			가야	k_gaya										end
836	b_836	예항	yeohang	126, 171, 19	함안			함안			가야	k_gaya									c-d불일치	end
837	b_837	함안	haman	126, 171, 19	함안			함안			가야	k_gaya										end
838	b_838	가야	gaya	126, 171, 19	함안			함안			가야	k_gaya										end
839	b_839	법수	beopsu	0, 162, 145	군북			함안			가야	k_gaya										end
840	b_840	대산	daesan	84, 183, 21	칠원			함안			가야	k_gaya										end
841	b_841	산인	sanin	126, 171, 19	함안			함안			가야	k_gaya										end
842	b_842	칠원	chilwon	84, 183, 21	칠원			함안			가야	k_gaya										end
843	b_843	칠서	chilseo	84, 183, 21	칠원			함안			가야	k_gaya										end
844	b_844	삼가	samga	168, 189, 22	삼가			합천			가야	k_gaya										end
845	b_845	가회	gahoe	168, 189, 22	삼가			합천			가야	k_gaya										end
846	b_846	쌍백	ssangbaek	168, 189, 22	삼가			합천			가야	k_gaya										end
847	b_847	대병	daebyeong	168, 189, 22	삼가			합천			가야	k_gaya										end
848	b_848	용주	yongju	168, 189, 22	삼가			합천			가야	k_gaya										end
849	b_849	대양	daeyang	168, 138, 212	합천			합천			가야	k_gaya										end
850	b_850	초계	chogye	168, 96, 42	초계			합천			가야	k_gaya										end
851	b_851	적중	jeokjung	168, 96, 42	초계			합천			가야	k_gaya										end
852	b_852	청덕	cheongdeok	168, 96, 42	초계			합천			가야	k_gaya										end
853	b_853	덕곡	deokgok	168, 96, 42	초계			합천			가야	k_gaya										end
854	b_854	쌍책	ssangchaek	168, 96, 42	초계			합천			가야	k_gaya										end
855	b_855	율곡	yulgok	168, 138, 212	합천			합천			가야	k_gaya										end
856	b_856	합천	hapcheon	168, 138, 212	합천			합천			가야	k_gaya										end
857	b_857	봉산	bongsan	168, 189, 22	삼가			합천			가야	k_gaya										end
858	b_858	묘산	myosan	168, 138, 22	합천			합천			가야	k_gaya										end
859	b_859	야로	yaro	168, 138, 22	합천			합천			가야	k_gaya										end
860	b_860	상북	sangbuk	84, 162, 216	언양			울산			포항	k_pohang										end
861	b_861	삼남	samnam	84, 162, 216	언양			울산			포항	k_pohang										end
862	b_862	두서	duseo	84, 162, 216	언양			울산			포항	k_pohang										end
863	b_863	두동	dudong	84, 162, 216	언양			울산			포항	k_pohang										end
864	b_864	언양	eonyang	84, 162, 216	언양			울산			포항	k_pohang										end
865	b_865	삼동	samdong	84, 117, 26	울주			울산			포항	k_pohang										end
866	b_866	웅촌	ungchon	84, 117, 26	울주			울산			포항	k_pohang										end
867	b_867	온양	onyang	84, 117, 26	울주			울산			포항	k_pohang										end
868	b_868	서생	seosaeng	84, 117, 26	울주			울산			포항	k_pohang										end
869	b_869																				공란	end
870	b_870	청량	cheongryang	84, 117, 26	울주			울산			포항	k_pohang										end
871	b_871	울산	ulsan	168, 183, 92	울산			울산			포항	k_pohang										end
872	b_872	범서	beomseo	84, 162, 216	언양			울산			포항	k_pohang										end
873	b_873	태화	taehwa	168, 183, 92	울산			울산			포항	k_pohang										end
874	b_874	농소	nongso	168, 183, 92	울산			울산			포항	k_pohang										end
875	b_875	남지	namji	84, 207, 96	영산			밀양			경주	k_gyeongju										end
876	b_876	부곡	bugok	84, 207, 96	영산			밀양			경주	k_gyeongju										end
877	b_877	길곡	gilgok	84, 207, 96	영산			밀양			경주	k_gyeongju										end
878	b_878	도천	docheon	84, 207, 96	영산			밀양			경주	k_gyeongju										end
879	b_879	영산	yeongsan	84, 207, 96	영산			밀양			경주	k_gyeongju										end
880	b_880	계성	gyeseong	84, 207, 96	영산			밀양			경주	k_gyeongju										end
881	b_881	장마	jangma	84, 207, 96	영산			밀양			경주	k_gyeongju										end
882	b_882	유어	yueo	126, 3, 154	창녕			밀양			경주	k_gyeongju										end
883	b_883	이방	ibang	126, 3, 154	창녕			밀양			경주	k_gyeongju										end
884	b_884	창녕	changnyeong	126, 3, 154	창녕			밀양			경주	k_gyeongju										end
885	b_885	대지	daeji	126, 3, 154	창녕			밀양			경주	k_gyeongju										end
886	b_886	대합	daehap	126, 3, 154	창녕			밀양			경주	k_gyeongju										end
887	b_887	고암	goam	126, 3, 154	창녕			밀양			경주	k_gyeongju										end
888	b_888	쌍림	ssangrim	85, 24, 1	고령			성주			대구	k_daegu										end
889	b_889	고령	goryeong	85, 24, 1	고령			성주			대구	k_daegu										end
890	b_890	덕곡	deokgok	85, 24, 1	고령			성주			대구	k_daegu										end
891	b_891	운수	unsu	43, 96, 13	성산			성주			대구	k_daegu										end
892	b_892	우곡	ugok	85, 24, 1	고령			성주			대구	k_daegu										end
893	b_893	개진	gaejin	43, 96, 13	성산			성주			대구	k_daegu										end
894	b_894	성산	seongsan	43, 96, 13	성산			성주			대구	k_daegu										end
895	b_895	무안	muan	1, 63, 135	밀양			밀양			경주	k_gyeongju										end
896	b_896	밀청	milcheong	1, 63, 135	밀양			밀양			경주	k_gyeongju										end
897	b_897	초동	chodong	1, 63, 135	밀양			밀양			경주	k_gyeongju										end
898	b_898	부북	bubuk	1, 63, 135	밀양			밀양			경주	k_gyeongju										end
899	b_899	수산	susan	169, 60, 7	삼량진			밀양			경주	k_gyeongju										end
900	b_900	기산	gisan	169, 60, 7	삼량진			밀양			경주	k_gyeongju										end
901	b_901	삼량진	samryangjin	169, 60, 7	삼량진			밀양			경주	k_gyeongju										end
902	b_902	밀양	miryang	1, 63, 135	밀양			밀양			경주	k_gyeongju										end
903	b_903	유천	yucheon	1, 63, 135	밀양			밀양			경주	k_gyeongju										end
904	b_904	산외	sanoe	127, 79, 9	단장			밀양			경주	k_gyeongju										end
905	b_905	단장	danjang	127, 79, 9	단장			밀양			경주	k_gyeongju										end
906	b_906	각북	gakbuk	42, 129, 83	화양			경산			경주	k_gyeongju										end
907	b_907	풍가	pungga	42, 129, 83	화양			경산			경주	k_gyeongju										end
908	b_908	이서	iseo	42, 129, 83	화양			경산			경주	k_gyeongju										end
909	b_909	각남	gaknam	42, 129, 83	화양			경산			경주	k_gyeongju										end
910	b_910	화양	hwayang	42, 129, 83	화양			경산			경주	k_gyeongju										end
911	b_911	청도	cheongdo	0, 207, 25	청도			경산			경주	k_gyeongju										end
912	b_912	매전	maejeon	0, 207, 25	청도			경산			경주	k_gyeongju										end
913	b_913	금천	geumcheon	0, 207, 25	청도			경산			경주	k_gyeongju										end
914	b_914	산내	sannae	126, 105, 79	건천			경주			경주	k_gyeongju										end
915	b_915	내남	naenam	127, 102, 14	경주			경주			경주	k_gyeongju										end
916	b_916	건천	geoncheon	126, 105, 79	건천			경주			경주	k_gyeongju										end
917	b_917	아화	seomyeon gyeongju	126, 105, 79	건천			경주			경주	k_gyeongju									c-d불일치	end
918	b_918	외동	oedong	127, 102, 14	경주			경주			경주	k_gyeongju										end
919	b_919	양남	yangnam	126, 123, 219	감포			포항			포항	k_pohang										end
920	b_920	양북	yangbuk	126, 123, 219	감포			포항			포항	k_pohang										end
921	b_921	경주	gyeongju	127, 102, 14	경주			경주			경주	k_gyeongju										end
922	b_922	현곡	hyeongok	127, 102, 14	경주			경주			경주	k_gyeongju										end
923	b_923	천북	cheonbuk	43, 111, 143	안강			경주			경주	k_gyeongju										end
924	b_924	안강	angang	43, 111, 143	안강			경주			경주	k_gyeongju										end
925	b_925	강동	gangdong	43, 111, 143	안강			경주			경주	k_gyeongju										end
926	b_926	하빈	habin	17, 40, 240	다사			대구			대구	k_daegu										end
927	b_927	다사	dasa	17, 40, 240	다사			대구			대구	k_daegu										end
928	b_928	성서	seongseo	168, 96, 87	대구			대구			대구	k_daegu										end
929	b_929	칠성	chilseong	43, 126, 18	수성			대구			대구	k_daegu										end
930	b_930	수성	suseong	43, 126, 18	수성			대구			대구	k_daegu										end
931	b_931	이현	ihyeon	168, 96, 87	대구			대구			대구	k_daegu										end
932	b_932	칠곡	chilgok	43, 126, 18	칠곡			칠곡			대구	k_daegu										end
933	b_933	동구	donggu	43, 126, 18	수성			대구			대구	k_daegu										end
934	b_934	남천	namcheon	43, 138, 183	경산			경산			경주	k_gyeongju										end
935	b_935	경산	gyeongsan	43, 138, 183	경산			경산			경주	k_gyeongju										end
936	b_936	남산	namsan	126, 45, 69	자인			경산			경주	k_gyeongju										end
937	b_937	용성	yongseong	126, 45, 69	자인			경산			경주	k_gyeongju										end
938	b_938	자인	jain	126, 45, 69	자인			경산			경주	k_gyeongju										end
939	b_939	압량	apryang	43, 138, 183	경산			경산			경주	k_gyeongju										end
940	b_940	하양	hayang	0, 51, 70	하양			경산			경주	k_gyeongju										end
941	b_941	진량	jinryang	0, 51, 70	하양			경산			경주	k_gyeongju										end
942	b_942	대창	daechang	84, 72, 201	영천			영천			경주	k_gyeongju										end
943	b_943	와촌	wachon	0, 51, 70	하양			경산			경주	k_gyeongju										end
944	b_944	금호	geumho	84, 72, 201	영천			영천			경주	k_gyeongju										end
945	b_945	청통	cheongtong	0, 66, 200	청통			영천			경주	k_gyeongju										end
946	b_946	북안	bugan	84, 72, 201	영천			영천			경주	k_gyeongju										end
947	b_947	영천	yeongcheon	84, 72, 201	영천			영천			경주	k_gyeongju										end
948	b_948	고경	gogyeong	168, 78, 202	임고			영천			경주	k_gyeongju										end
949	b_949	임고	imgo	168, 78, 202	임고			영천			경주	k_gyeongju										end
950	b_950	자양	jayang	168, 78, 202	임고			영천			경주	k_gyeongju										end
951	b_951	화북	hwabuk	168, 78, 202	임고			영천			경주	k_gyeongju										end
952	b_952	화남	hwanam	0, 66, 200	청통			영천			경주	k_gyeongju										end
953	b_953	화산	hwasan	0, 66, 200	청통			영천			경주	k_gyeongju										end
954	b_954	죽장	jukjang	126, 33, 159	기계			포항			포항	k_pohang										end
955	b_955	기계	gigye	126, 33, 159	기계			포항			포항	k_pohang										end
956	b_956	기북	gibuk	126, 33, 159	기계			포항			포항	k_pohang										end
957	b_957	신광	singwang	126, 33, 159	기계			포항			포항	k_pohang										end
958	b_958	송라	songra	0, 144, 50	흥해			포항			포항	k_pohang										end
959	b_959	청하	cheongha	0, 144, 50	흥해			포항			포항	k_pohang										end
960	b_960	흥해	heunghae	0, 144, 50	흥해			포항			포항	k_pohang										end
961	b_961	연일	yeonil	42, 147,178	포항			포항			포항	k_pohang										end
962	b_962	포항	yeongil	0, 144, 50	흥해			포항			포항	k_pohang									c-d불일치	end
963	b_963	영일	pohang	42, 147, 178	포항			포항			포항	k_pohang									c-d불일치	end
964	b_964	대송	daesong	42, 147, 178	포항			포항			포항	k_pohang										end
965	b_965	오천	ocheon	42, 147, 178	포항			포항			포항	k_pohang										end
966	b_966	장기	janggi	42, 162, 53	구룡포			포항			포항	k_pohang										end
967	b_967	동해	donghae	42, 162, 53	구룡포			포항			포항	k_pohang										end
968	b_968	구룡포	guryongpo	42, 162, 53	구룡포			포항			포항	k_pohang										end
969	b_969	변산	byeonsan	84, 87, 76	변산			부안			익산	k_iksan		신복련	e_hec							end
970	b_970	진서	jinseo	84, 87, 76	변산			부안			익산	k_iksan		신복련	e_hec							end
971	b_971	보안	boan	84, 87, 76	보안			부안			익산	k_iksan		신복련	e_hec							end
972	b_972	하서	haseo	84, 87, 76	변산			부안			익산	k_iksan		신복련	e_hec							end
973	b_973	상서	sangseo	84, 87, 76	변산			부안			익산	k_iksan		신복련	e_hec							end
974	b_974	주산	jusan	0, 39, 160	보안			부안			익산	k_iksan		신복련	e_hec							end
975	b_975	계화	gyehwa	0, 39, 160	부안			부안			익산	k_iksan		신복련	e_hec							end
976	b_976	행안	haengan	0, 39, 160	부안			부안			익산	k_iksan		신복련	e_hec							end
977	b_977	동전	dongjeon	0, 39, 160	부안			부안			익산	k_iksan		신복련	e_hec							end
978	b_978	부안	buan	0, 39, 160	부안			부안			익산	k_iksan		신복련	e_hec							end
979	b_979	백산	baeksan	0, 39, 160	고부			정읍			익산	k_iksan		신복련	e_hec							end
980	b_980	입암	ibam	42, 57, 163	정읍			정읍			익산	k_iksan		신복련	e_hec							end
981	b_981	소성	soseong	42, 57, 163	고부			정읍			익산	k_iksan		신복련	e_hec							end
982	b_982	고부	gobu	42, 57, 163	고부			정읍			익산	k_iksan		신복련	e_hec							end
983	b_983	영원	yeongwon	168, 66, 37	고부			정읍			익산	k_iksan		신복련	e_hec							end
984	b_984	정읍	jeongeup	42, 57, 163	정읍			정읍			익산	k_iksan		신복련	e_hec							end
985	b_985	덕천	deokcheon	168, 66, 37	고부			정읍			익산	k_iksan		신복련	e_hec							end
986	b_986	이평	ipyeong	168, 66, 37	고부			정읍			익산	k_iksan		신복련	e_hec							end
987	b_987	신태인	sintaein	168, 66, 37	태인			정읍			익산	k_iksan		신복련	e_hec							end
988	b_988	감곡	gamgok	168, 81, 167	태인			정읍			익산	k_iksan		신복련	e_hec							end
989	b_989	정우	jeongu	168, 66, 37	고부			정읍			익산	k_iksan		신복련	e_hec							end
990	b_990																				공란	end
991	b_991	칠보	chilbo	168, 81, 167	칠보			정읍			익산	k_iksan		신복련	e_hec							end
992	b_992	태인	taein	168, 81, 167	태인			정읍			익산	k_iksan		신복련	e_hec							end
993	b_993	옹동	ongdong	168, 81, 167	태인			정읍			익산	k_iksan		신복련	e_hec							end
994	b_994	산외	sanoe	168, 81, 167	칠보			정읍			익산	k_iksan		신복련	e_hec							end
995	b_995	강진	gangjin	84, 105, 171	운암			임실			전주	k_jeonju		신복련	e_hec							end
996	b_996	덕치	deokchi	84, 105, 171	운암			임실			전주	k_jeonju		신복련	e_hec							end
997	b_997	삼계	samgye	0, 114, 45	임실			임실			전주	k_jeonju		신복련	e_hec							end
998	b_998	오수	osu	0, 114, 45	임실			임실			전주	k_jeonju		신복련	e_hec							end
999	b_999	청웅	cheongung	84, 105, 171	운암			임실			전주	k_jeonju		신복련	e_hec							end
1000	b_1000	운암	unam	84, 105, 171	운암			임실			전주	k_jeonju		신복련	e_hec							end
1001	b_1001	신덕	sindeok	84, 105, 171	관촌			임실			전주	k_jeonju		신복련	e_hec							end
1002	b_1002	신평	sinpyeong	84, 105, 171	관촌			임실			전주	k_jeonju		신복련	e_hec							end
1003	b_1003	임실	imsil	0, 114, 45	임실			임실			전주	k_jeonju		신복련	e_hec							end
1004	b_1004	관촌	gwanchon	84, 105, 171	관촌			임실			전주	k_jeonju		신복련	e_hec							end
